"","B Site","A1 Site","Predicted PC"
"1","Co","Na30",0.00896332506090403
"2","Fe","Na30",0.00187754153739661
"3","Mn","Na30",0.00714575545862317
"4","Co","K30",0.0111161526292562
"5","Fe","K30",0.00415107142180204
"6","Mn","K30",0.00941929407417774
"7","Co","Ca30",0.00999065488576889
"8","Fe","Ca30",0.00279034441336989
"9","Mn","Ca30",0.0080585666000843
"10","Co","Mg30",0.00779428938403726
"11","Fe","Mg30",0.000692723842803389
"12","Mn","Mg30",0.00596093805506825
"13","Co","Ba30",0.0130962347611785
"14","Fe","Ba30",0.00613115122541785
"15","Mn","Ba30",0.0113993790000677
"16","Co","Cu30",0.00882162526249886
"17","Fe","Cu30",0.00172005407512188
"18","Mn","Cu30",0.00698826787993312
"19","Co","Pr30",0.0108017083257437
"20","Fe","Pr30",0.0038146625738591
"21","Mn","Pr30",0.00908288825303316
"22","Co","Sc30",0.00882162526249886
"23","Fe","Sc30",0.00172005407512188
"24","Mn","Sc30",0.00698826787993312
