"","B Site","A1 Site","Predicted PC"
"1","Co","Na40",0.0115804495289922
"2","Fe","Na40",0.00449466798454523
"3","Mn","Na40",0.00976288970559835
"4","Co","K40",0.0137332743033767
"5","Fe","K40",0.00676819309592247
"6","Mn","K40",0.0120364194735885
"7","Co","Ca40",0.0126077774912119
"8","Fe","Ca40",0.00540746841579676
"9","Mn","Ca40",0.0106756929308176
"10","Co","Mg40",0.010411418043077
"11","Fe","Mg40",0.0033098473213613
"12","Mn","Mg40",0.00857807043939829
"13","Co","Ba40",0.0145650766789913
"14","Fe","Ba40",0.00759999314323068
"15","Mn","Ba40",0.0128682209178805
"16","Co","Cu40",0.0114387487992644
"17","Fe","Cu40",0.00433717761188745
"18","Mn","Cu40",0.00960540026426315
"19","Co","Pr40",0.0122705483809114
"20","Fe","Pr40",0.00528350658714771
"21","Mn","Pr40",0.010551730170846
"22","Co","Sc40",0.0114387487992644
"23","Fe","Sc40",0.00433717761188745
"24","Mn","Sc40",0.00960540026426315
