"","B Site","A1 Site","Predicted PC"
"1","Co","Na10",0.0113443322479725
"2","Fe","Na10",0.00178400182630867
"3","Mn","Na10",0.00705221761018038
"4","Co","K10",0.0131790665909648
"5","Fe","K10",0.00394516345113516
"6","Mn","K10",0.00921338610351086
"7","Co","Ca10",0.0123716611415148
"8","Fe","Ca10",0.00269680470228195
"9","Mn","Ca10",0.00796502828598022
"10","Co","Mg10",0.00883253663778305
"11","Fe","Mg10",0.000599183840677142
"12","Mn","Mg10",0.00586740020662546
"13","Co","Ba10",0.015159148722887
"14","Fe","Ba10",0.00592524372041225
"15","Mn","Ba10",0.0111934719607234
"16","Co","Cu10",0.00985986832529306
"17","Fe","Cu10",0.00162651413120329
"18","Mn","Cu10",0.00689473003149033
"19","Co","Pr10",0.011839946731925
"20","Fe","Pr10",0.00372112262994051
"21","Mn","Pr10",0.00898934900760651
"22","Co","Sc10",0.00985986832529306
"23","Fe","Sc10",0.00162651413120329
"24","Mn","Sc10",0.00689473003149033
