"","B Site","A1 Site","Predicted PC"
"1","Co","Na20",0.0246144086122513
"2","Fe","Na20",0.0157677624374628
"3","Mn","Na20",0.0210359804332256
"4","Co","K20",0.0264491438865662
"5","Fe","K20",0.0177232027053833
"6","Mn","K20",0.0229914225637913
"7","Co","Ca20",0.0256417393684387
"8","Fe","Ca20",0.0166805665940046
"9","Mn","Ca20",0.0219487845897675
"10","Co","Mg20",0.022102614864707
"11","Fe","Mg20",0.0145829394459724
"12","Mn","Mg20",0.0198511611670256
"13","Co","Ba20",0.0284292288124561
"14","Fe","Ba20",0.0197032876312733
"15","Mn","Ba20",0.0249715037643909
"16","Co","Cu20",0.0231299456208944
"17","Fe","Cu20",0.0156102674081922
"18","Mn","Cu20",0.020878491923213
"19","Co","Pr20",0.0251100342720747
"20","Fe","Pr20",0.0177048910409212
"21","Mn","Pr20",0.0229731071740389
"22","Co","Sc20",0.0231299456208944
"23","Fe","Sc20",0.0156102674081922
"24","Mn","Sc20",0.020878491923213
